Planned Amount,Expenditure Incurred,Financial Year,Not Onboarded,Scheme,Month Book Closed,Month Book Not Closed,ZP Name,No of ZPs,Available Amount,state_code_census,States,Year Book Not Closed,zp_code,Year Book Closed,Opening Balance,region,Total Release,Unspent Balance,state_code_lgd,Receipts,Onboarded
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,SIANG,1,0.00E+00,12,ARUNACHAL PRADESH,1,274255,0,0.00E+00,North East,0.00E+00,0.00E+00,12,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,NAMSAI,1,0.00E+00,12,ARUNACHAL PRADESH,1,274256,0,0.00E+00,North East,0.00E+00,0.00E+00,12,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,MORBI,1,0.00E+00,24,GUJARAT,1,274430,0,0.00E+00,West,0.00E+00,0.00E+00,24,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,1,0,DEVBHUMI DWARKA,1,48019710,24,GUJARAT,0,274431,1,31247463,West,0.00E+00,48019710,24,16772247,0
0.00,0.00,2021-2022,0,XV Finance Commission,1,0,CHHOTAUDEPUR,1,148118553,24,GUJARAT,0,274432,1,95722341,West,0.00E+00,148118553,24,52396212,1
0.00,0.00,2021-2022,0,XV Finance Commission,1,0,ARVALLI,1,92421436,24,GUJARAT,0,274433,1,60143218,West,0.00E+00,92421436,24,32278218,1
0.00,0.00,2021-2022,1,XV Finance Commission,1,0,BOTAD,1,35241397,24,GUJARAT,0,274434,1,26449272,West,0.00E+00,35241397,24,8792125,0
0.00,0.00,2021-2022,1,XV Finance Commission,1,0,MAHISAGAR,1,97291690,24,GUJARAT,1,274435,0,62925073,West,0.00E+00,97291690,24,34366617,0
0.00,0.00,2021-2022,1,XV Finance Commission,1,0,GIR SOMNATH,1,48883235,24,GUJARAT,0,274436,1,48883235,West,0.00E+00,48883235,24,0.00E+00,0
"117,966,240.00",0.00,2021-2022,0,XV Finance Commission,1,0,JHARGRAM,1,120155298.8,19,WEST BENGAL,0,276162,1,61172178.8,East,0.00E+00,120155298.8,19,58983120,1
"101,745,120.00","15,595,517.00",2021-2022,0,XV Finance Commission,1,0,PASCHIM BARDHAMAN,1,53506229.8,19,WEST BENGAL,0,276164,1,52460313.8,East,0.00E+00,37910712.8,19,1045916,1
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,KALIMPONG,1,0.00E+00,19,WEST BENGAL,1,276167,0,0.00E+00,East,0.00E+00,0.00E+00,19,0.00E+00,0
"20,000,000.00","2,351,162.00",2021-2022,0,XV Finance Commission,1,0,JIRIBAM ZILA PARISHAD,1,3111136,14,MANIPUR,0,276619,1,736222,North East,2374914,759974,14,2374914,1
"23,195,775.00","2,212,010.85",2021-2022,0,XV Finance Commission,1,0,KAKCHING ZILA PARISHAD,1,7990393.29,14,MANIPUR,0,276620,1,2718621.29,North East,5271772,5778382.44,14,5271772,1
"43,360,379.00","28,249,956.00",2021-2022,0,XV Finance Commission,1,0,BISWANATH,1,36438042,18,ASSAM,0,277402,1,29107542,North East,7330500,8188086,18,7330500,1
"28,299,074.00","6,920,846.00",2021-2022,0,XV Finance Commission,1,0,CHARAIDEO,1,24535004.72,18,ASSAM,0,277403,1,19307868,North East,4784000,17614158.72,18,5227136.72,1
"40,522,661.00","13,951,336.40",2021-2022,0,XV Finance Commission,1,0,HOJAI,1,34984935,18,ASSAM,0,277404,1,27402604,North East,6850500,21033598.6,18,7582331,1
"23,953,505.00","11,712,750.00",2021-2022,0,XV Finance Commission,1,0,MAJULI,1,20518292,18,ASSAM,0,277405,1,16198058,North East,4049500,8805542,18,4320234,1
"34,193,420.00","19,233,833.00",2021-2022,0,XV Finance Commission,1,0,SOUTH SALMARA MANKACHAR,1,29047561,18,ASSAM,0,277406,1,0.00E+00,North East,5780500,9813728,18,29047561,1
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,KAMLE,1,0.00E+00,12,ARUNACHAL PRADESH,1,278062,0,0.00E+00,North East,0.00E+00,0.00E+00,12,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,LOWER SIANG,1,0.00E+00,12,ARUNACHAL PRADESH,1,279230,0,0.00E+00,North East,0.00E+00,0.00E+00,12,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,PAKKE KESSANG,1,0.00E+00,12,ARUNACHAL PRADESH,1,289556,0,0.00E+00,North East,0.00E+00,0.00E+00,12,0.00E+00,0
"16,066,902.00",0.00,2021-2022,1,XV Finance Commission,0,1,Mancherial,1,0.00E+00,0,TELANGANA,1,289868,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"18,005,386.00",0.00,2021-2022,1,XV Finance Commission,0,1,Nirmal,1,0.00E+00,0,TELANGANA,1,289869,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"16,651,294.00",0.00,2021-2022,1,XV Finance Commission,0,1,KUMURAM BHEEM ASIFABAD,1,0.00E+00,0,TELANGANA,1,289870,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"15,224,153.00",0.00,2021-2022,1,XV Finance Commission,0,1,Peddapalli,1,0.00E+00,0,TELANGANA,1,289871,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"22,677,433.00",0.00,2021-2022,1,XV Finance Commission,0,1,Jagitial,1,10179900,0,TELANGANA,0,289872,1,10179900,South,0.00E+00,10179900,36,0.00E+00,0
"13,420,494.00",0.00,2021-2022,1,XV Finance Commission,0,1,RAJANNA SIRCILLA,1,0.00E+00,0,TELANGANA,1,289873,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"30,449,448.00",0.00,2021-2022,1,XV Finance Commission,0,1,BHADRADRI KOTHAGUDEM,1,0.00E+00,0,TELANGANA,1,289874,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"16,356,635.00",0.00,2021-2022,1,XV Finance Commission,0,1,JANGOAN,1,14726798,0,TELANGANA,0,289875,1,14726798,South,0.00E+00,14726798,36,0.00E+00,0
"11,991,316.00",0.00,2021-2022,1,XV Finance Commission,0,1,JAYASHANKAR BHUPALAPALLY,1,0.00E+00,0,TELANGANA,1,289876,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"15,198,791.00",0.00,2021-2022,1,XV Finance Commission,0,1,JOGULAMBA GADWAL,1,0.00E+00,0,TELANGANA,1,289877,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"26,150,875.00",0.00,2021-2022,1,XV Finance Commission,0,1,KAMAREDDY,1,0.00E+00,0,TELANGANA,1,289878,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"24,685,866.00",0.00,2021-2022,1,XV Finance Commission,0,1,MAHABUBABAD,1,0.00E+00,0,TELANGANA,1,289879,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"4,528,027.00",0.00,2021-2022,1,XV Finance Commission,0,1,MEDCHAL MALKAJGIRI,1,0.00E+00,0,TELANGANA,1,289880,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
